tcp_no_packets,tcp_total_size,udp_no_packtes,udp_total_size,total_packets(tcp + udp),total_size(tcp + udp),avg_time_interval,activity
49,7396,4651,423720,4700,431116,5.62,2
15836,1563345,0,0,15836,1563345,1.72,2
10089,917346,0,0,10089,917346,2.71,2
98,14666,3898,367284,3996,381950,6.93,2
8535,755891,6,2139,8541,758030,2.23,2
88,18636,14,6228,102,24864,241.31,0
3719,433641,0,0,3719,433641,6.22,1
469,88583,21,7662,490,96245,51.56,1
2450,376644,0,0,2450,376644,10.5,1
1242,174610,4,1710,1246,176320,21.49,1
1691,316588,9,5574,1700,322162,16.67,1
1203,150241,29,13420,1232,163661,22.09,0
442,81094,20,8847,462,89941,55.5,0
107,10748,12,5476,119,16224,238.47,0
1614,175467,6,3106,1620,178573,16.71,0
17840,1520558,1104,148392,18584,1668950,1.5,2
5299,758440,1,65,5300,758505,5.1,1
712,151708,7,2601,719,154309,38.32,0
1545,2496698,31,9635,1576,259333,16.53,1
863,102849,411,63229,1274,166078,21.27,1
1028,138055,38,10441,1066,148496,25.97,0
569,149026,51,12325,620,161351,43.53,0
4752,710449,155,60361,4907,770810,5.57,2
1373,111344,16,7658,1389,119002,19.7,2
168,16880,18082,1544398,18250,1561278,1.45,2
16137,1415513,1,65,16138,1415578,1.66,2
414,65101,18,6995,432,72096,51.46,0
906,126006,518,91821,1424,217827,18.3,0
3927,1133766,358,64668,4285,1198434,6.17,1
128,12683,10780,946002,10908,958685,2.47,2
0,0,0,0,0,0,0,3
7,547,0,0,7,547,1413,3
15,1166,0,0,15,1166,1430,3
